Location_Coordinates,Hospital_Name,Address_Original_First_Line
"19.1363246, 72.82766",Vibha Maternity And Surgical Nursing Home,Alka Building Opp M A High School S V Road Andheri W
"19.1363246, 72.82766",Vishal X-Ray Clinic,"Madhav Medicare Centre, Andheri West"
"19.104219, 72.864046",Ameya Surgical and General Nursing Home,"F/2,3 Ajit Nagar, J.B.Nagar, Andheri (E)"
"19.113645, 72.8697339",Chiranjeevi Nursing Home,"Bhawani Tower Plot No 18A 101/102 , Bhawani Nagar Near Marol Eduction Soc Andheri"
"19.1081099, 72.8677512",Dadhich Nursing Home,"Pandit Indra Marg, J.B. Nagar"
"19.1405116, 72.8421555",Diamond Hospital,"105, First Floor , Markaz View, Opposite Excel Industries , S.V Road, Jogeshwari(W)"
"19.1099032, 72.8650609",Dr Goels Maternity and General Hospital,"Goel Apts, J B Nagar, Near Kalgidhar High School, Wireless Street , Andheri East"
"19.1154908, 72.8726952",Dr Punjabis Laboratory,"6, Amarpali, Telli Galli, Next To Hotel Ras International Andheri East"
"19.1213135, 72.8797755",Dr.Pintos Pathological Laboratory,"H-2, Vijay Tower,Vijay Nagar,Marol Maroshi Road Andheri(E)"
"19.1110621, 72.8655922",Dr.Sandip Anand,"1St Floor, Greenland Apts, Opp Hotel Kohinoor, J B Nagar, Andheri(E)"
"19.1110621, 72.8655922",Kiran Care and Cure Hospital,"Mistry Complex, Sankalp (Gr. Floor)Nr. Greater Bank, J.B. Nagar, Andheri (E)"
"19.1198548, 72.8464601",Mukund Maternity And Surgical Nursing Home,Mukund Nagar Co-Opp Hsg Andheri Kurla Road Andheri (E)
"19.113645, 72.8697339",Nutan Mammography And Sonography Centre,"2-A,Manubharti Chs,Azad Lane,S V Road,Andheri"
"19.1154908, 72.8726952",Paramount General Hospital and Icu,1St & 2Nd Floor Laxmi Commarcial Premises Saki Naka Junction Andheri ( E)
"19.1110621, 72.8655922",Rachana Maternity Paediatric and Surgical Nursing Ho,A-3/4 Monarch Palace Next To Saidev Hotel J B Nagar Andheri(E)
"19.1338837, 72.8376429",Rg Stone Urology And Laparoscopy Hospital,"C Wing, Dhananjay Apt Behind Balaji Studio, Opp Veera Desai Road Andheri"
"19.1188585, 72.8802146",Saish Nursing Home and Icu,"Eco Park, Co. Op. Hsg., Society Limited, Flat No.000 D/3, Military Road, Moral-Maroshi Road, Andheri (E)"
"19.1163793, 72.8798583",Sevenhills Healthcare Private Limited,"(Gipsa Only)Near Marol Maroshree Bus Depot, Marol,Marol Maroshi Road, Andheri (E)"
"19.1131214, 72.867009",Spectacles And Contact Lens Clinic,B-1 Greenland Apt J.B Ngr Andheri(E)
"19.1165713, 72.8825342","Sugun Hospital Multispeciality Diagnostic, Icu","Plot No.236, Twin Arcade,Military Road,Marol,Andheri (East)"
"19.1154908, 72.8726952",Umang Maternity And Surgical Nursing Home -Andheri (E),1-Lacreame Nrakruti Trade Center Rd No-7 Kondivita Midc Area Andheri(E)
"19.1738547, 72.8476718",Dr Mandot Modern Clinical Pathology Laboratory,"Munshi Estate, M G Road, Muluind West"
"19.1364893, 72.8488709",Dr. Kamats Hospital - Jogeshwari - Mumbai,"B3/4, Satellite Classic Caves Road, Near Jogeshwari Railway Station, Jogeshwari (East)"
"19.043902, 72.8681195",Dr. Kulkarni Hospital,"1St Floor, Near State Bank Of India, Station Road, Jogeshweri (East)"
"19.1364893, 72.8488709",Dr. Shindes Childrens Hospital And Nicu,"004/C-2, Satellite Classic, Caves Road, Opposite, Jogeshwari Railway Station, Jogeshwari (E)"
"19.0759837, 72.8776559",Global Diagnostic Centre,"7/2, N.R. Mistry Chawl, Near Shivsena Shakha, Megwadi, Jogeswari (E)"
"19.1315933, 72.8498738",Parulekar Maternity And Surgical Nursing Home - Mumbai,"Plot No-13 , Gr. Floor, & 1St Floor, "" Ushahkal"" Hindu Friends Society Road, Jogeshwari(E)"
"19.1379278, 72.8101762",A.E.Kalsekar Hospital,"60,Fisheries University Road Anjuman Complex, Yari Road,Versova,Andheri(W)"
"19.1306458, 72.8184455",Mahima Hospital and Polyclinic,"5/6-C, Janakdeep Bldg, 7 Bungalow, J.P.Road, Andheri West"
"19.0759837, 72.8776559",Mamta Maternity and Nursing Home,"Vishwashanti, Juhu - 7 Bungalows, Link Road, 7, Bungalows Garden"
"19.1350852, 72.8146101",The Clinique and Nursing Home - Andheri,"Sea-Shell Annexe, Ground Floor, Seven Bunglows Road, Versova, Andheri (W)"
"19.1699919, 72.8497757",Dr. (Mrs.) S.D.Patki Clinic,"Shriniketan, Pandurang Wadi, Goregaon (E)"
"19.0759837, 72.8776559",Dr.Ganaskars Pathology Laboratory,Pralhad Shop 2 Aarey Road Goregoan East
"19.1691237, 72.8754694",Enclave Maternity Home,54 Yashodham Enclave Opp Royal Challenge Hotel Film City Road Goregaon East
"19.1733185, 72.8730215",Eye Smile Clinic,"Satellite Gardens Ii, Film City Road, Goregoan (East)"
"19.1737578, 72.8597274",Gokuldham Medical Centre,"Sai Road,Gokuldham,Gen. A. K. Vaidya Marg, Goregaon(E)"
"19.1551485, 72.8678551",Kanchi Nursing Home,"Rajnigandha Shoping Centre, Gokuldham, Filmcity Road, Goregaon E, Mumbai 63 Goregaon E"
"19.1737578, 72.8597274",Sudha Hospital and Polyclinic,"Lachhiramplaza, Ground Floor, D-Wing(Film City Road), Gen.A.K.Vaidya Marg, Goregaon(E)"
"19.1745143, 72.862324",Surya Eye Clinic,"Padmavati Nagar,Gen. A.K.V . Marg"
"19.1509735, 72.8758099",Yashada Maternity and Surgical Home,Sarthak Society Ist Flr Aarey Rd Goregaon
"19.1874689, 72.8422219",Abhijit Hospital,"Divya Trusha, Mamlatdar Wadi Road, Malad- West"
"19.1963422, 72.8105333",Adarsh Hospital,"C-Wing Meenakshi Apt , Orlem Marve Road Malad(W)"
"19.1827551, 72.8401539",Advanced Orthopaedic Centre,"Srinivas Apartment, 1St Floor Opp New Era Talkies Next To Rationing Office, 78, S V Road Malad(W)"
"19.1016472, 72.8500491","Dr. Manoj Shah , Fractureaccident - Orthopaedic","A/2 Shriniwas Apartment, 78, S.V. Road Malad (W)"
"19.1963422, 72.8105333",Dr. Vasa Hospital,"The Swing, Ground Floor, Marve Rd, Malad (W)"
"19.1749892, 72.8451337",Dr.Guptas Nursing Home,"D/6, Rani Sati Nagar, S V Road, Malad(W)"
"19.1834939, 72.8357436",Dr.Ronak Prakash Bhandari,"Shweta Bldg, Khandelwal Layout, Link Road Malad West"
"19.180237, 72.8554149",Ear-Nose-Throat And Eye Clinic,Malad
"19.1928391, 72.8330873",Evershine Nursing Home,"Evershine Nagar Sai Baba Park, Marve Link Road Malad"
"19.185155, 72.8422978",Janhvi Nursing Home,Amprali Appartment Turel Pakhadi Road Malad-West
"19.1840599, 72.846178",Jay Polyclinic Surgical and Maternity Nursing Home and Iccu,"B/1, Shree Dutta Apt., Amarshi Road, Malad (W)"
"19.1827551, 72.8401539",Khandelwal Ent and General Hospital and Polyclinic,"301,Jainson Plaza,OppositeMalad Shopping, S.V.Road, Malad (W)"
"19.1757956, 72.8419473",Le Nest,Laxmipalace Above Feast India Restaurant Off S V Road Opp Sunder Nagar Malad West
"19.1827551, 72.8401539",Lifeline Hospital Heart Insititute and Diagnostic Centre,"Vishal Complex, A-Wing, S.V. Road, Malad (W)"
"19.1853044, 72.8470214",Manish Nursing Home,"Kashi Kunj Road, Malad (W)"
"19.1843832, 72.8362572",Navkar Child Care Centre and Nursing Home,Shops No 7 8 9 Link Rd Malad West
"19.2254953, 72.8544636",Neelam Nursing Home (Lenest) - Malad (W),"Laxmi Palace, Sundar Nagar,S. V. Road, Malad (W)"
"19.2019275, 72.8190866",Neon Critical Care,"3Rd Floor, Deora Commercial Centre, Malad, Marve Road, Malad (West)"
"19.1827551, 72.8401539",Nirman Diagnostic Imaging Centre,1 C/D Pushpa Chandra Apt Near N L High School S V Road Malad W
"19.1878099, 72.845366",Puranik Hospital,"Dhanyawad, Mamledar Wadi 1St Lane Malad(W)"
"19.13654, 72.847579",Rahul Eye Clinic,"S-1 Unit/Shop No.9, Sunder Nagar, S.V.Road,Malad - W"
"19.1827551, 72.8401539",Rajathani Seva Samiti,Nalda Rajsthani Seva Samiti Marg Avrsaien Nagar Malad W
"19.1897322, 72.8460784",Saraogi Maternity and General Hospital,"Khetan Appts., S.V.Road, Malad(W)"
"19.1827551, 72.8401539",Sunflowar Laboratory and Diagnostic Centre,Malad(W)
"19.1980732, 72.8426229",Surana Hospital And Research Centre,"Tank Road, Next To Skywalk Tower, Near Orlem Church, End Of Shankar Lane Malad - West"
"19.1827551, 72.8401539",Vinayak Maternity and General Hospital,"A-1, Vikas Park, Linking Road, Opposite Uncle's Kitchen, Malad(W)"
"19.0781122, 72.8319933",Clear Vision Eye Center,"1A, Ashoka Road , 15 S.V. Road, Santacruz(W)"
"19.2222802, 72.8544895",Dhanshri Hospital,"Sidhivinayak Tower, Near Collecter Office, Natakwala Lane, Borivali(West)"
"19.164269, 72.8454471",Dr Baliga Nursing Home,"Paras, S.V.Road, Goregaon(W)"
"19.0759837, 72.8776559",Jain Hospital and Medical Research Center,"43/341, Unnat Nagar 4, Opposite Rosary Church. M G Road"
"19.0599156, 72.9011119",Kolekar Hospiatl,"Omprakash Arcade,2 Floor,Unit No.209,Ambedkar Garden"
"19.171536, 72.9528553",Omkar Eye Care Center,302-303 Koteshwar Plaza Junction Of Jn Road And R.H.B Road Mulund(W)
"19.1998211, 72.842594",Pratik Hospital and Maternity Home,"Shreeji Arcade, 3Rd Floor, Junction Of S.V.Road, & M.G.Road, OppositeDena Bank, Kandivali(W)"
"24.5446027, 73.6956989",Shri Siddhi Vinayak Orthopaedic Hospital,"4/9, Indira Complex, 60 Feet Road"
"19.032803, 73.1012153",Suyash Surgiacal and Maternity Home,"Flat No 101 / 102 Satyam Society , Above Trupti Hotel , Sec 2 E , Kalamboli"
"19.2240612, 72.8666469",Anand Nursing Home - Borivali (E),"Godavari, E-Wing, Shanti-Van, Next To National Park, Borivali (East)"
"19.2240612, 72.8666469","Ankit Fracture, Maternity and Surgical Hospital","No. B-4, Girirath, Carter Road Near Sai Baba Temple, Borivali (East)"
"19.2318937, 72.8586904",Asian Eye Institute And Laser Centre,"Plot10A, Satyanarayan Apartment Opp G H High School, Off M G Road, Borivili - East"
"19.2240612, 72.8666469",Crystal Hospitals,"Sheel Palace Near State Bank , Dattapada Borivali East"
"19.2229268, 72.8574421","Dr Parikhs Maternity, Gynaec, and General Hospital","A/6-9, Lilam Buld, Dattapada Road, Borivali(E)"
"19.0759837, 72.8776559","Dr. Mehta,S Maternity Home","Laxmi Nivas, OppositeAmba Mandir, Carter Road-3, Borivli(E)"
"19.234019, 72.8643053",Mohit Hospital and Heart Centre,"Koyna, Shantivan Complex, Near National Park, Borivali ( E )"
"19.0759837, 72.8776559",Mukti Nursing Home,"B-1 & B-2, Laxmi Apartment, Kasturba Road No.3,Borivli (East)"
"19.0759837, 72.8776559",Narendra Hospital,"Seeta Mahal, Kasturba Road No. 5, Borivili (E)"
"19.2224441, 72.8600404",Navjeevan Global Heart Centre,"17/120, Swagar C.H.S.L Mhada Colony, F.C.I Road Near Rly.Flyover,Rajendra Nagar Borivali(E)"
"19.2219048, 72.842968",Nirmay Mother Care Centre,"Shimpoli,Borivali"
"19.2559121, 72.8749632",Parijat Child Health Clinic,"Shrikrishna Nagar, Near Post Office,Borivli East"
"19.2300126, 72.8619097",Parmar Hospital,"63/C, Amita Apartment, 5Th Kastruba Road, Boravili East"
"19.2360202, 72.8606066",Purnima Hospital,"Road No- 8, Daulat Nagar ,Borivali(E)"
"19.2240612, 72.8666469",Qualitas Diagnostics Center,"1-3, Bhima Building, Opposite Sona Theatre, Shantivan, Borivali (East)"
"19.2240612, 72.8666469",Ratika Hospital and Research Centre,"Laxmi Niwas, Plot No.4, Daulat Nagar, S.V. Road, Borivali (E)"
"19.2240612, 72.8666469",Riddhi Eye Clinic,"104,S.B.Apt.,Carter Road No.5,Rai Dongri,Behind Mk Bakery,Borivali(E)"
"19.2240612, 72.8666469",Robindra Nursing Home,"Laxmi Niwas, 1St Floor, 4, Daulat Nagar,Opposite Gopalpuri Building, S.V.Road, Borivali (E)"
"19.2277398, 72.8594058",Roshni Eye Clinic,"101-102 Sagar Apartment Kasturba Road No.2, Borivli (E)"
"19.2240612, 72.8666469",Shivam Eye Care Centre,"204, B Wing, 2Nd Floor, Shivam, Above Bank Of India, Opposite S.T. Depot, M.G. Road, Borivali(E)"
"19.2371877, 72.8441358",Shree Krishna Hospital,"Plot No-161, Shree Krishna Nagar, Shantivan, Near Post Office, Kajupada Road,Near National Park, Borivali"
"19.2240612, 72.8666469",Shri K V O Jain Manav Seva Kendra Navneet Hospital,"Daulat Nagar, Road No. 5 & 7, Behind Punjab Bank, Borivali(E)"
"19.0759837, 72.8776559",Sumeet Nursing Home,"19 & 20/B, Amita Apartments, 5Th Kasturba Road, Borivli(E)"
"19.2248364, 72.8566481",Utkarsh Nursing Home,4 Nirmala Sadan Kasturba Rd No1 Borivli(E)
"19.1998211, 72.842594",Akshar Eye Clinic,"Akshar Kunj, Khajuria Tank Road, OppositeMilap Cinema,Kandivali( W)"
"19.1980732, 72.8426229",Bhatia Maternity and Ivf Centre,"D-Wing Kailash Nagar, Behind Thathai Bhatia Hall, Shankar Lane,Kandivali(W)"
"19.2153192, 72.8152087",Dr Reena Mokal Nursing Home and Polyclinic,Plot No 6 R S C 7 Behind Sai Prem Building Charkop Sector 8 Kandivali W
"19.2077867, 72.8423686",Dr. Vora`S Premature Critical Care and General Hospital,"2-4/A, Kokil Kunj, Behind Patel Nagar, Kandivli (West)"
"19.2100454, 72.8183494",Gayatri Maternity and Gynaec Clinic,"13/14, Parvati Chs, Plot No. 243, Opp Apna Bazar,Sector No 3, Charkop, Kandivali (East)"
"19.2064817, 72.8384842",Grace Maternity and Nursing Home - Kandivli (W),"Atlanta, 1277/C, M. G. Road, Kandivali (W)"
"19.2100454, 72.8183494",Gyatri Maternity and Gynaec Clinc,"13/14, Parvati Chs, Plot No. 243, Opp Apna Bazar,Sector No 3, Charkop, Kandivali (East)"
"19.0759837, 72.8776559",Jaydeep Eye and Physiotherapy Clinic - Kandivli,"2,Ratnadeep, Sector 3, OppositeApna Bazaar,Near Saibaba Mandir, Charkop Kandivli (W)"
"19.206912, 72.850038",Jobanputra Nursing Home,59 Balasinor Society S V Road Kandivli
"19.0759837, 72.8776559",Kanchanganga Polyclinic and Nursing H0Me,"Kanchanganga Bldg, Gr, Floor, 95, S V Road, Kandivli"
"30.7346267, 79.0668943",Kirti Nursing Home,"Kedarnath ,Plot-7,Sector-7 , R.D.P5,Near Bus Depot,Charkop,Kandivli(E)"
"19.0759837, 72.8776559",Medicenter Nursing Home,"B, Wing, Ground Floor, Blossom Chs., Ltd. Off Link Road,Gaurav Heights Mahavir Nagar, Kandivli (W)"
"19.2063004, 72.841578",Nidhi Nursing Home and Iccu,"Neelyog Apts, Ground Floor, M. G. Road-4, Opposite Patel Nagar, Kandivali(W)"
"19.1998211, 72.842594",Paarth Hospital,"Kalyan Apt., M.G. Road, Behind Swaminarayan Temple, Kandivali(W)"
"19.206847, 72.8443572",Panorama Eye Clinic Superspeciality Eye Care,"2, Navnath Society, Patel Nagar, Kandivali West"
"19.0759837, 72.8776559",Parvatibai Chavan Charitable Trust - Kandivli,"Yashwant Hosp.Bldg., Datta Mandir Road, Off.M.G.Road, Dahanukar Wadi, Kandivli (West)"
"19.0759837, 72.8776559",Raichura Prasuti Gruha,"Nishita Apart., Dahanukar Wadi, M.G.Road, Kandivli (W)"
"19.2019348, 72.8446558",Sai Vilayatrai Charitable Polyclinc,Kandivali
"19.1998211, 72.842594",Saraswati Hospital(Kandivali),"Sushila Sadan, Near Charkop Bus Depot & Mtnl, Kandivali(W)"
"19.2039462, 72.8492897",Shah Surgical Hospital and Maternity Home P. Ltd.,"Shreeji Arcade, 3Rd Floor, S.V. Road, Kandivilli (W)"
"19.0759837, 72.8776559",Shivam Nursing Home,"Shrenik Chs Ltd, P No 106, Sector-Ii, Charkop Kandivili - West"
"19.1936411, 72.8435167",Shree Krishna Hospital - Kandivali,"1,2 & 3, Shiv Kripa C.H.S., S.V.P. Lane, Opposite Municipal Garden, Kandivali (W)"
"19.2177774, 72.8301306",Shree Nagesh Childrens Hospital,"105-108. 1St Floor, Kesar Plaza, A-Wing, Sector 3, Charkop"
"19.1998211, 72.842594",Sumangal Hospital,"B-1St Floor, Mitnayan C.H.S Ltd, Linking Rd,Ganesh Ngr,Kandivali(W)"
"19.0759837, 72.8776559",Swapneel Nursing Home,"Platinum Part, Muskurahat Co-Op Soc., Near Babrekar Nagar, Kandivli (W)"
"19.2050369, 72.8389113",Vinayak Nursing Home`,"Opp Vaishali Bus Stop, M.G.Road, Kandivli(W)"
"19.2540545, 72.8620298",Abhinav Sushrut Hospital,"Ramkunwar Thakur Road, Dahisar(East)"
"19.2542542, 72.8646698",Akshit Maternity Home,"Panchdnam,01 D Wing Anand Nagar Road Corner Opp Jarimari Garden Dahisar (E)"
"19.4945979, 72.8604097",Anand Maternity And Nursing Home - Mumbai,"Asaregram Complex, Near Dahisar Railway Station,New Link Road, Subway, Dahisar (E)"
"19.2539332, 72.8672448",Ashirwad Maternity and Nursing Home - Dahisar,"001-002,Harsh Apartments, A/5, Anand Narar Off C.S.Road, Dahisar (E)"
"19.2406676, 72.8685001",Balaji Polyclinic and Criticare Centre,"S.N.Dubey Road, Rawal Pada, Dahisar (E)"
"19.2539332, 72.8672448",Dr Ajay Shah Pathology,A Wing Ground Floor Om Arun Apartment S V Road Dahisar East
"19.2530795, 72.8575571",Dr Mandar Pandit Clinic,Shamanad Radhabai Mhatre Road Dahisar West
"19.2539332, 72.8672448",Dr Worlikar's Shree Surgical and General Nursing Home,"Anuj Apt., 1St Flogr, Parabhat Nagar, S.V.Road, Dahisar(E)"
"19.2512619, 72.8601956",Dr. M. L Dhawale Memorial Trust,"Bmc`S Holistic Mother & Child Care Hospital, Harishankar Joshi Marg , Dahisar(East)"
"19.2511357, 72.8575344",Dr.Nikams Eye Care And Laser Centre,"R.No.3, Mangesh Apartment, Rajaram Tawde Road, Dahisar(W)"
"19.2539332, 72.8672448",Jai Ambe Poly Clinic Nursing Home and Maternity Hosp,"Shivdham Apt, Flat No 01, 02, N Wing, Grd Floor, S P Road, Vaishali Nagar Dahisar East"
"19.2467802, 72.8610276",Kk Maternity And General Hospital,"D-78/79 And 95/96, Raghukul Sv Road, Dahisar (E)"
"19.2539332, 72.8672448","Life Line Hospital - Dahisar,Mumbai","A-101/102 , Sunlight Height, S.V.Road , Dahisar ( E )"
"19.2539332, 72.8672448",Namitha Polyclinic and Hospital,"Ganga Shalimar,Navyug Nagar,S.Y.Road,Dahisar(E)"
"19.2539332, 72.8672448",Navdurga Fracture And Accident Centre,"B1 Amiraj Gr Floor, Opp Namita Hospital S V Road, Dahisar(E)"
"19.1551485, 72.8678551",Navjeevan Urology and Stone Care Centre,"Arihant Above Bhandari Co-Op Bank,Next To Goregaon"
"19.2539332, 72.8672448",Navneet Hi-Tech,Manav Kalyan Kendra Chowk S V Road Dahisar East
"19.2515368, 72.8637467",Rohit Nursing Home - Dahisar,"Bldg.No.4, Block No.5-6,Shanti Nagar, S.V.Road, Dahisar (E)"
"19.2539332, 72.8672448",Sanghavi Eye and Diabetes Care Center,"17-Baharbldg, No-3Shantinagar, Nearcanarabank, Svroad, Dahisar(E)"
"19.255128, 72.8568499",Shri K.V.O.Jain Manav Seva Kendra Navneet High -Te,Dahisar
"19.2564386, 72.8546344",Sukhsagar Hospital,"Sukhsagar Hospital, Mantri Tower Bunglow, L.T Road, Dahisar (West)"
"19.243804, 72.865917",Total Woman Medical Centre - Dahisar,"K Wing, 1St Floor, Shankheshwar Nagar, Shiv Vallabh Rd, Dahisar (E)"
"19.2539332, 72.8672448",Vdurga Fracture And Accident Centre,"B1 Amiraj Gr Floor, Opp Namita Hospital, Sv Road, Dahisar (E)"
"19.2539332, 72.8672448",Vijay Polyclinic and Care Centre,"001/002, Kaveri Building, Shiv Vallabh Cross Road River Park, Dahisar(E)"
"19.2434168, 72.8671305",Vishwanath Hospital,"Rajsatyam Building, Shiv Vallabh Road, Ashokvan ,Dahisar (E)"
"19.1123849, 72.8669884",Carewell Nursing Home,"B-Wing, Aradhana Co-Op Hsg Socitey, Near Andheri Gymkhana, Sir M V Rd, Andheri East"
"19.1188585, 72.8802146",Dr. M.C.Desai Eye Clinic and Microsurgury Eye Centre,"No.001, Aztec Appt.,Near Jalaram Store,Behind N.K.Foot Wear,Marol Maroshi Road,Andheri (East)"
"19.1154908, 72.8726952",E N T Clinic and Deafness Center,"No. 16, Nityanand Nagar-Ii, Opp Bank Of Maharashtra, Near Flyover Bridge, Stationsahar Road) Andheri E)"
"19.1211714, 72.853548",Jain Nursing Home,"B/1-2-3 Aditya Apts, Old Nagardas Road, Andheri (East)"
"19.1088116, 72.8560975",Kripa Eye Clinic,"Flat No.3 , Nityanand Nagar 2 , Nityapriya Co-Op Housing Society , Station Sahar Road , Andheri ( East )"
"19.109114, 72.8575199",Laxmi Mirat Eye Clinic And Day Care Centre,"Nityanad Nagar 3, 1St Floor, Andheri (E)"
"19.2371877, 72.8441358",M.M.Hospital,"Holi Cross Road Behind Maharashtra Bank,Borivali"
"19.1154908, 72.8726952",Mangala Nursing Home,"# 1, Symphony Appts., Azad Road, Gundavli, Andheri (East)"
"19.1154908, 72.8726952",Patel Nursing Home  Andheri (E),"B, Vaishali Apartments, Sir M.V. Road, 1St Floor, Andheri (E)"
"19.1097442, 72.8484128",Sadanand Danait Hospital,"Jeevan Vikas Kendra Marg , Off S. Nityanand Marg Andheri (East)"
"19.1154908, 72.8726952",Saheli Clinic,Vertex Vikas Shpping Centre Andheri East
"19.1009869, 72.8651933",Sanjeevani Hospital,"# 11, Nityanand Nagar, Sahar Road, Andheri (East)"
"19.1269161, 72.8670933",Shakuntala Memorial Surgical Childerns and General Hospital,182 Shere Punjab Colony Mahakali Caves Road Andheri (East)
"19.1154908, 72.8726952",Tripura Nursing Home,"1 Shree Shweta Lane No-1, Koldongri Santaji Dhanaji Marg, Andheri-E"
"19.0754649, 72.8770505",City Hospital And Reserch Centre,"Sagar Palace B Wing, Sonapur Lane, F.P.P. Marg, Off L B S Marg, Kurla (W)"
"19.0625228, 72.8829242",Dr .Desais Nursing Home,S.G.Barve Road Kurla
"18.8797841, 72.9398358",Dr A Tungekars Hospital (Uran),"No. 630, Nasir Apartment, Bazar Peth, Uran, Navi"
"19.0707532, 72.8781322",Dr Shehnaz Shaikh Clinic,Kurla West
"19.0707532, 72.8781322",Hamidani Laser Vision Centre,104 Kulsum Apt Opp Ward Office Next To Kurla Nagrik Bank Station Kurla W
"19.0822947, 72.8950556",Kohinoor Hospital,"Kirol Road, Opp: Lbs Road, Kurla - West"
"19.0759837, 72.8776559",Shrushti Clinic and Microsurgery Centre,Navi
"19.0707532, 72.8781322",Sunder Childrens Nursing Home,Kurla (W)
"19.0327996, 72.8963568",Aditya Health Care,"Nj 1&2 Khardeo Nagar , Ghatla , N.G Adhaya Marg, Chembur"
"19.0506517, 72.9103754",Ashirwad Hospital and Polyclinic,"101, 102, 103, Ashirwad Hospital, Anurag Bussiness Center, Waman- Tukaram Patil Marg, Chembur"
"19.0453626, 72.9115246",Bhatti Eye Clinic,"No. 22, Amar Mansion, Sion Trombay Road, Chembur"
"19.0825013, 72.8387327",Day Care Eye Clinic(Dr.S.V.Sharma Eye Clini),Santacruz
"19.0552812, 72.8892082",Daycare Angels,"Sushrut Hospital. 365, Swastik Park Chembur"
"19.0327996, 72.8963568",Diamond Polyclinic and Nursing Home,"Bala Bhavan,Opp- Diamond Garden,Chembur"
"19.0327996, 72.8963568",Disha Polyclinic and Nursing Home,"A-1,2,3-Amul Commercial Premises,1St Road,OppositeBmc (M-Ward) Office, Chembur"
"28.6960904, 77.0764585",Dr (Mrs) Shubha S Rao,"201, 2Nd Floor, Center Point, Opp State Bank Of India"
"19.0604892, 72.898177",Dr Kedares Maternity and General Nursing Home,"Urmila Complex, 1St Flr., D K Sandu Marg, Chembur"
"19.0585864, 72.9078832",Dr Mekhales Dhanvantari Hospital,"Khardeo Nagar, Near Acharya College, N.G.Acharya Marg, Chembur"
"19.0327996, 72.8963568",Dr Smita Mukherjees Eye Clinic,"Nav Bhartiya Bhavan, 10Th Road, Chembur"
"19.05161, 72.8911931",Dr Suresh C Anand Clinic,"Anand Niwas, Plot No 3, Sion Trombay Road, Chembur"
"18.9243376, 72.8239698",Dr. Amins Clinic,"901-902,Tulsani Chambers,9Th Floor,212 Free Press Journal Marg"
"19.0327996, 72.8963568",Dr. Das Hospital - Chembur (Mumbai),"2Nd & 3Rd Floor, Gagangiri, 18 Th Road, Chembur"
"19.0327996, 72.8963568",Dr. Sanjay Sonars Laproscopy and Scopy Centre,Chembur
"19.0327996, 72.8963568",Dr. Shubha Rao,"201,2Nd Floor,Central Point,Opp Sbi,18 Th Road,Chembur"
"19.0327996, 72.8963568",Excel Urology Centre,"Opposite Basant Theatr, Dr. C. G. Road Chembur,"
"19.0327996, 72.8963568",Hegde Hospital Surgical and Maternity Nursing Home,"Saikripa Building ,Road No.1, Opposite Chembur Municipal Office,M' Ward,Chembur"
"19.0327996, 72.8963568",Icon Hospital and Research Centre,"1& 2 Savla Sadan First Floor, R.C. Marg,OppositeRation Office, , Chembur"
"18.9722585, 72.8311737",Kamran Nursing Home,"Opp Bmc M Ward Office, 1St Road, Chembur"
"19.0593495, 72.9068556",Kolekar Nursing Home,"N G Acharya Marg, Khardeo Nagar Ghatla Chembur"
"19.0327996, 72.8963568",Laproscopy and Scopy Center,"Plot No.185, 15Th Road, Opp Nirmal And Ayush Beauty Clinic, Chembur"
"19.0327996, 72.8963568",Laxmi Maternity Home,"Sampoorna, Plot 213,11Th Road, Chembur"
"19.0327996, 72.8963568",Lc Manek's Polyclinic And Nursing Home,"Parvati Palace Shivpuri Compound, St Road,Near Chembur Akabarally Chembur"
"19.0327996, 72.8963568",Lion Vithal Kalgutkar Medical Centre,"Shahani Trust Bldg,R.C Marg,Chembur"
"19.0552812, 72.8892082",Mandakini Nuclear Imaging Centre,48 Swastic Park Chembur
"19.0533749, 72.897061",Mangal Anand Hospital,"48 Swastik Park, Umarshi Bappa Chowk, Sion Trombay Road, Chembur"
"19.0539989, 72.9053186",Narurkar Ent Hospital,"Shop No.7, Waman Appartments, Behind Maitri Park St.Bus Stand, Ghatla Road, Chembur"
"19.0327996, 72.8963568",Navnit Clinic (Dr. Parihar Eye and Ent,Chembur
"19.0536352, 72.8851743",Neurogen Brain And Spine Institute,"Surana Sethia Hospital And Research Centre, Suman Nagar, Sion- Trombay Road, Chembur"
"19.0327996, 72.8963568",Niramaya General Hospital,"B-28/1, Maitri Park, Sion Trombay Road, Next To Maitri Park Bus Stop,Chembur"
"41.127833, -81.609844",Oma Hospital,"Near Diamond Garden, Sion-Trombay Road, Near Fairlawn So., Chembur"
"19.0327996, 72.8963568",Patankar Hand and Limb Reconstruction Clinic,"204,Garodia Market, Plot No 8-A, D K Sandu Road, Next To Hotel Malhaar, Chembur"
"19.059862, 72.9005605",Rushabh Nursing Home and Eye Hospital,"Rushabh 18Th Road Near Ambedkar Garden, Chembur"
"18.9626907, 72.8129124",Sai Kripa Childrens Hospital,"Road No 1, Opp M Ward Muncipal Office,Chembur"
"19.0327996, 72.8963568",Shree Chembur Jain Medical Relief Centre,"1, Casa Grande, Rov House Road No-10, Opp Jain Temple Chembur"
"19.0521897, 72.8915977",Sitla Hospital,"No. 19-B, Near Bhakti Bhavan,Siddhi Society,Chembur"
